studrollno,Accommodation Operation,Accountancy,Bakery,Banking,Biology,Botany,Business Studies,Chemistry,Civics,Computer Application,Co-operation,Economics,English,French,General Foundation Course,Hindi,History,Konkani,Logic,Marathi,Mathematics,Physics,Political Science,Portuguese,Psychology,Secretarial Practice,Sociology,Hindi_y,History_y,Political Science_y,Portuguese_y,Psychology_y,Economics_y,English_y,Konkani_y,Marathi_y,Philosophy,Sociology_y
19-1151,0,0,0,0,0,0,0,0,0,0,0,78,61,0,0,89,0,0,0,0,0,0,0,0,0,0,0,ND,ND,B+,ND,ND,C,ND,ND,B+,ND,ND
19-1152,0,0,0,0,0,0,0,0,0,0,0,90,78,0,0,89,0,0,0,0,0,0,0,0,0,0,0,ND,ND,B+,ND,ND,B+,ND,ND,C,ND,ND
19-1153,0,0,0,0,0,0,0,0,0,0,0,67,67,0,0,80,0,0,0,0,0,0,0,0,0,0,0,ND,ND,C,ND,ND,C,ND,ND,B,ND,ND
19-1161,0,0,0,0,0,0,0,0,0,0,0,37,48,0,0,60,0,0,0,0,0,0,0,0,0,0,0,F,ND,ND,ND,ND,F,ND,ND,C,ND,ND
19-1162,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,84,0,0,0,93,0,0,0,0,77,0,0,B+,ND,ND,ND,ND,P,ND,ND,B+,ND,ND
19-1163,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,64,0,0,0,55,0,0,0,0,0,0,54,AB,ND,ND,ND,ND,AB,ND,ND,AB,ND,ND
19-1201,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,67,74,0,0,0,0,0,0,75,0,0,ND,ND,ND,ND,F,ND,ND,B+,ND,ND,C
19-1202,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,73,87,0,0,0,0,0,0,76,0,0,ND,ND,ND,ND,C,ND,ND,B,ND,ND,B+
19-1203,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,66,75,0,0,0,0,0,0,65,0,0,ND,ND,ND,ND,P,ND,ND,P,ND,ND,P
19-1204,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,79,0,80,0,0,0,0,0,0,82,0,0,ND,ND,ND,ND,B+,ND,ND,A,ND,ND,B+
19-1205,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,61,0,73,0,0,0,0,0,0,50,0,0,ND,ND,ND,ND,AB,ND,ND,B,ND,ND,F
19-1206,0,0,0,0,56,0,0,44,0,0,0,0,66,0,0,68,0,0,0,0,0,50,0,0,58,0,0,ND,ND,ND,ND,P,ND,ND,B+,ND,ND,P
19-1207,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,71,0,78,0,0,0,0,0,0,65,0,0,ND,ND,ND,ND,F,ND,ND,P,ND,ND,P
19-1208,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,73,55,0,0,0,0,0,0,79,0,0,ND,ND,ND,ND,F,ND,ND,F,ND,ND,F
19-1210,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,59,72,0,0,0,0,0,0,36,0,0,ND,ND,ND,ND,F,ND,ND,P,ND,ND,P
19-1211,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,87,0,90,0,0,0,0,0,0,92,0,0,ND,ND,ND,ND,B+,ND,ND,B+,ND,ND,B+
19-1212,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,84,0,88,0,0,0,0,0,0,85,0,0,ND,ND,ND,ND,B+,ND,ND,A,ND,ND,A
19-1213,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,69,0,65,0,0,0,0,0,0,70,0,0,ND,ND,ND,ND,F,ND,ND,B+,ND,ND,P
19-1214,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,67,86,0,0,0,0,0,0,77,0,0,ND,ND,ND,ND,F,ND,ND,B,ND,ND,F
19-1231,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,46,55,0,0,0,0,0,0,42,0,0,ND,ND,F,ND,ND,ND,ND,F,ND,ND,F
19-1232,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,37,58,0,0,0,0,0,0,56,0,0,ND,ND,P,ND,ND,ND,ND,P,ND,ND,P
19-1233,0,33,0,0,0,0,33,0,0,0,0,0,33,0,0,0,0,36,0,0,0,0,0,0,0,0,0,ND,ND,F,ND,ND,ND,ND,F,ND,ND,F
19-1234,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,57,83,0,0,0,0,0,0,65,0,0,ND,ND,P,ND,ND,ND,ND,B,ND,ND,P
19-1235,0,0,0,0,0,0,0,0,0,0,0,58,45,0,0,0,63,66,0,0,0,0,0,0,0,0,0,ND,ND,C,ND,ND,ND,ND,B,ND,ND,P
19-1237,0,0,0,0,0,0,33,0,0,0,0,0,41,0,0,0,0,53,0,0,0,0,0,0,0,33,0,ND,ND,F,ND,ND,ND,ND,P,ND,ND,F
19-1238,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,64,0,69,0,0,0,0,0,0,62,0,0,ND,ND,F,ND,ND,ND,ND,P,ND,ND,P
19-1239,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,78,69,0,0,0,0,0,0,56,0,0,ND,ND,P,ND,ND,ND,ND,F,ND,ND,F
19-1240,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,74,0,66,0,0,0,0,0,0,70,0,0,ND,ND,F,ND,ND,ND,ND,P,ND,ND,P
19-1241,0,0,0,0,0,0,0,0,0,0,0,52,58,0,0,79,0,77,0,0,0,0,0,0,0,0,0,ND,ND,C,ND,ND,ND,ND,A,ND,ND,F
19-1243,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,84,0,91,0,0,0,0,0,0,91,0,0,ND,ND,A+,ND,ND,ND,ND,B+,ND,ND,A
19-1244,0,0,0,0,0,0,0,0,0,0,0,59,56,0,0,0,63,53,0,0,0,0,0,0,0,0,0,ND,ND,C,ND,ND,ND,ND,P,ND,ND,B+
19-1245,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,86,0,90,0,0,0,0,0,0,76,0,0,ND,ND,B+,ND,ND,ND,ND,A,ND,ND,C
19-1247,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,66,66,0,0,0,0,0,0,69,0,0,ND,ND,AB,ND,ND,ND,ND,AB,ND,ND,AB
19-1261,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,45,54,0,0,0,0,0,0,55,0,0,P,ND,ND,ND,ND,ND,ND,B,ND,ND,F
19-1262,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,52,58,0,0,0,0,0,0,65,0,0,F,ND,ND,ND,ND,ND,ND,C,ND,ND,P
19-1264,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,76,0,75,0,0,0,0,0,0,75,0,0,P,ND,ND,ND,ND,ND,ND,B+,ND,ND,P
19-1265,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,84,0,88,0,0,0,0,0,0,90,0,0,B,ND,ND,ND,ND,ND,ND,A,ND,ND,B
19-1266,0,0,0,0,0,0,35,0,0,0,0,0,44,0,0,0,0,55,0,0,0,0,0,0,0,38,0,F,ND,ND,ND,ND,ND,ND,P,ND,ND,F
19-1268,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,69,0,69,0,0,0,0,0,0,67,0,0,P,ND,ND,ND,ND,ND,ND,C,ND,ND,P
19-1269,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,83,0,91,0,0,0,0,0,0,81,0,0,B+,ND,ND,ND,ND,ND,ND,A+,ND,ND,B+
19-1270,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,83,0,93,0,0,0,0,0,0,80,0,0,B,ND,ND,ND,ND,ND,ND,A+,ND,ND,B+
19-1271,0,0,0,0,0,0,0,0,0,0,0,46,50,0,0,76,0,81,0,0,0,0,0,0,0,0,0,P,ND,ND,ND,ND,ND,ND,B,ND,ND,F
19-1272,0,0,0,0,0,0,0,0,0,0,0,63,64,0,0,82,0,80,0,0,0,0,0,0,0,0,0,B,ND,ND,ND,ND,ND,ND,A,ND,ND,B
19-1273,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,61,83,0,0,0,0,0,0,61,0,0,P,ND,ND,ND,ND,ND,ND,B+,ND,ND,C
19-1301,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,97,96,0,0,0,0,0,0,83,0,0,ND,A+,ND,ND,A,ND,ND,A+,ND,ND,ND
19-1302,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,77,91,0,0,0,0,0,0,60,0,0,ND,B,ND,ND,C,ND,ND,A+,ND,ND,ND
19-1304,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,65,76,0,0,0,0,0,0,69,0,0,ND,B,ND,ND,B+,ND,ND,B+,ND,ND,ND
19-1305,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,80,81,0,0,0,0,0,0,77,0,0,ND,B,ND,ND,C,ND,ND,B,ND,ND,ND
19-1306,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,81,92,0,0,0,0,0,0,93,0,0,ND,B,ND,ND,F,ND,ND,A,ND,ND,ND
19-1307,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,72,76,0,0,0,0,0,0,78,0,0,ND,B,ND,ND,F,ND,ND,B+,ND,ND,ND
19-1321,0,0,0,0,0,0,0,0,0,0,0,54,63,0,0,79,0,73,0,0,0,0,0,0,0,0,0,ND,P,P,ND,ND,ND,ND,B+,ND,ND,ND
19-1322,0,0,0,0,0,0,0,0,0,0,0,53,73,0,0,84,0,86,0,0,0,0,86,0,0,0,0,ND,P,F,ND,ND,ND,ND,B+,ND,ND,ND
19-1323,0,0,0,0,0,0,0,0,0,0,0,45,53,0,0,72,0,76,0,0,0,0,0,0,0,0,0,ND,F,P,ND,ND,ND,ND,B,ND,ND,ND
19-1325,0,0,0,0,0,0,0,0,0,0,0,59,57,0,0,59,0,63,0,0,0,0,0,0,0,0,0,ND,C,B,ND,ND,ND,ND,F,ND,ND,ND
19-1326,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,74,0,68,0,0,0,0,0,0,50,0,0,ND,F,F,ND,ND,ND,ND,P,ND,ND,ND
19-1327,0,0,0,0,0,0,73,0,0,0,0,0,51,0,0,0,0,79,0,0,0,0,0,0,0,0,0,ND,B,C,ND,ND,ND,ND,C,ND,ND,ND
19-1328,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,67,66,68,0,0,0,0,0,61,0,0,ND,F,C,ND,ND,ND,ND,C,ND,ND,ND
19-1330,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,67,0,74,0,0,0,0,0,0,62,0,0,ND,B+,A,ND,ND,ND,ND,B,ND,ND,ND
19-1341,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,47,79,0,0,0,0,0,0,50,0,0,F,B+,ND,ND,ND,ND,ND,B+,ND,ND,ND
19-1343,0,0,0,0,0,0,57,0,0,0,0,0,66,0,0,0,0,72,0,0,0,0,0,0,0,61,0,F,F,ND,ND,ND,ND,ND,P,ND,ND,ND
19-1344,0,0,0,0,0,0,0,0,0,0,0,72,52,0,0,67,0,68,0,0,0,0,0,0,0,0,0,C,P,ND,ND,ND,ND,ND,B+,ND,ND,ND
19-1346,0,0,0,0,0,0,0,0,0,0,55,51,44,0,0,0,54,62,0,0,0,0,0,0,0,0,0,F,AB,ND,ND,ND,ND,ND,AB,ND,ND,ND
19-1347,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,47,53,0,0,0,0,0,0,0,0,0,F,F,ND,ND,ND,ND,ND,F,ND,ND,ND
19-1348,0,0,0,0,0,0,0,0,0,0,0,33,48,0,0,53,0,47,0,0,0,0,0,0,0,0,0,F,F,ND,ND,ND,ND,ND,F,ND,ND,ND
19-1349,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,57,0,57,0,0,0,0,0,0,38,0,0,AB,AB,ND,ND,ND,ND,ND,AB,ND,ND,ND
19-1350,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,80,0,82,0,0,0,0,52,0,57,0,0,C,P,ND,ND,ND,ND,ND,B,ND,ND,ND
19-1351,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,59,0,60,0,0,0,0,0,0,55,0,0,AB,AB,ND,ND,ND,ND,ND,P,ND,ND,ND
19-1352,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0,63,65,0,0,0,0,0,0,59,0,0,F,P,ND,ND,ND,ND,ND,P,ND,ND,ND
19-1361,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,73,0,0,0,67,0,0,0,0,0,0,0,ND,ND,F,ND,ND,ND,ND,F,P,ND,ND
19-1362,0,0,0,0,0,0,0,0,0,0,0,55,53,0,0,82,0,0,0,81,0,0,0,0,0,0,0,ND,ND,P,ND,ND,ND,ND,C,P,ND,ND
19-1363,0,0,0,0,0,0,0,0,0,0,0,48,43,0,0,60,0,0,0,66,0,0,0,0,0,0,0,ND,ND,F,ND,ND,ND,ND,F,P,ND,ND
19-1372,0,0,103,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AB,ND,ND,ND,ND,ND,ND,AB,AB,ND,ND
19-1373,0,0,0,0,0,0,39,0,0,0,0,0,34,0,0,0,0,0,0,40,0,0,0,0,0,33,0,AB,ND,ND,ND,ND,ND,ND,AB,AB,ND,ND
19-1401,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,79,46,0,74,0,0,0,0,0,59,0,0,ND,ND,ND,ND,P,ND,ND,ND,ND,A,B
19-1405,0,0,0,0,0,0,0,0,0,0,0,0,70,48,0,0,73,0,0,0,0,0,0,0,78,0,0,ND,ND,ND,ND,C,ND,ND,ND,ND,B+,C
19-1406,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,70,87,0,0,ND,ND,ND,ND,B,ND,ND,ND,ND,A,B+
19-1409,0,0,0,0,72,0,0,53,0,0,0,0,59,0,0,0,0,64,0,0,0,58,0,0,76,0,0,ND,ND,ND,ND,A,ND,ND,ND,ND,B+,B+
19-1411,0,0,0,0,0,0,81,0,0,0,0,0,73,0,0,0,0,71,0,0,0,0,0,0,0,67,0,ND,ND,ND,ND,P,ND,ND,ND,ND,B,P
